Time Period,Reading,m,Data
1,86.7418,13,99.7418
2,85.3195,13,98.3195
3,84.7355,13,97.7355
4,85.1113,13,98.1113
5,85.1487,13,98.1487
6,84.4775,13,97.4775
7,84.6827,13,97.6827
8,84.6757,13,97.6757
9,86.3169,13,99.3169
10,88.0006,13,101.0006
11,86.2597,13,99.2597
12,85.8286,13,98.8286
13,83.75,13,96.75
14,84.4628,13,97.4628
15,84.6476,13,97.6476
16,84.5751,13,97.5751
17,82.2473,13,95.2473
18,83.3774,13,96.3774
19,83.5385,13,96.5385
20,85.162,13,98.162
21,83.7881,13,96.7881
22,84.0421,13,97.0421
23,84.1023,13,97.1023
24,84.8495,13,97.8495
25,87.6416,13,100.6416
26,87.2397,13,100.2397
27,87.5219,13,100.5219
28,86.4992,13,99.4992
29,85.605,13,98.605
30,86.8293,13,99.8293
31,84.5004,13,97.5004
32,84.1844,13,97.1844
33,85.4563,13,98.4563
34,86.1511,13,99.1511
35,86.4142,13,99.4142
36,86.0498,13,99.0498
37,86.6642,13,99.6642
38,84.7289,13,97.7289
39,85.9523,13,98.9523
40,86.8473,13,99.8473
41,88.425,13,101.425
42,89.6481,13,102.6481
43,87.8566,13,100.8566
44,88.4997,13,101.4997
45,87.0622,13,100.0622
46,85.1973,13,98.1973
47,85.0767,13,98.0767
48,84.4362,13,97.4362
49,84.2112,13,97.2112
50,85.9952,13,98.9952
51,85.5722,13,98.5722
52,83.7935,13,96.7935
53,84.3706,13,97.3706
54,83.3762,13,96.3762
55,84.9975,13,97.9975
56,84.3495,13,97.3495
57,85.3395,13,98.3395
58,86.0503,13,99.0503
59,84.8839,13,97.8839
60,85.4176,13,98.4176
61,84.2309,13,97.2309
62,83.5761,13,96.5761
63,84.1343,13,97.1343
64,82.6974,13,95.6974
65,83.5454,13,96.5454
66,86.4714,13,99.4714
67,86.2143,13,99.2143
68,87.0215,13,100.0215
69,86.6504,13,99.6504
70,85.7082,13,98.7082
71,86.1504,13,99.1504
72,85.8032,13,98.8032
73,85.6197,13,98.6197
74,84.2339,13,97.2339
75,83.5737,13,96.5737
76,84.7052,13,97.7052
77,83.8168,13,96.8168
78,82.4171,13,95.4171
79,83.042,13,96.042
80,83.6993,13,96.6993
81,82.2033,13,95.2033
82,82.1413,13,95.1413
83,81.7961,13,94.7961
84,82.3241,13,95.3241
85,81.5316,13,94.5316
86,81.728,13,94.728
87,82.5375,13,95.5375
88,82.3877,13,95.3877
89,82.4159,13,95.4159
90,82.2102,13,95.2102
91,82.7673,13,95.7673
92,83.1234,13,96.1234
93,83.2203,13,96.2203
94,84.451,13,97.451
95,84.9145,13,97.9145
96,85.7609,13,98.7609
97,85.2302,13,98.2302
98,86.7312,13,99.7312
99,87.0048,13,100.0048
100,85.0572,13,98.0572
